swab.id;site;date;cluster_size;sex;age;forearm;body.mass;fat.amt;fat.method;percent.fat
WF16VT001;Aeolus;2015-Nov-17;1;F;NA;35.69;6.42;0.955;quantitative magnetic resonance;0.148753894
WF16VT002;Aeolus;2015-Nov-17;2;F;NA;35.79;9.24;2.96;quantitative magnetic resonance;0.32034632
WF16VT003;Aeolus;2015-Nov-17;2;F;NA;37.91;10.36;3.35;quantitative magnetic resonance;0.323359073
WF16VT004;Aeolus;2015-Nov-17;2;F;NA;36.93;8.51;1.73;quantitative magnetic resonance;0.203290247
WF16VT005;Aeolus;2015-Nov-17;2;M;NA;37.87;7.47;1.505;quantitative magnetic resonance;0.201472557
WF16VT006;Aeolus;2015-Nov-17;10;M;NA;35.51;6.82;1.22;quantitative magnetic resonance;0.17888563
WF16VT007;Aeolus;2015-Nov-17;10;M;NA;38.73;8.19;2.315;quantitative magnetic resonance;0.282661783
WF16VT008;Aeolus;2015-Nov-17;10;M;NA;37.62;7.18;1.6;quantitative magnetic resonance;0.222841226
WF16VT009;Aeolus;2015-Nov-17;10;F;NA;38.61;7.76;1.885;quantitative magnetic resonance;0.242912371
WF16VT010;Aeolus;2015-Nov-17;10;M;NA;36.99;7.52;1.94;quantitative magnetic resonance;0.257978723
WF16VT011;Aeolus;2015-Nov-17;10;M;NA;39.73;9;2.605;quantitative magnetic resonance;0.289444444
WF16VT012;Aeolus;2015-Nov-17;10;F;NA;39.13;7.97;2.035;quantitative magnetic resonance;0.255332497
WF16VT013;Aeolus;2015-Nov-17;10;F;NA;37.45;8.87;2.66;quantitative magnetic resonance;0.29988726
WF16VT014;Aeolus;2015-Nov-17;10;M;NA;39.57;9.1;2.595;quantitative magnetic resonance;0.285164835
WF16VT015;Aeolus;2015-Nov-17;10;M;NA;40.6;10.2;3.065;quantitative magnetic resonance;0.300490196
WF16VT016;Aeolus;2015-Nov-17;5;M;NA;39.01;7.98;2.125;quantitative magnetic resonance;0.266290727
WF16VT017;Aeolus;2015-Nov-17;5;F;NA;39.87;7.18;1.42;quantitative magnetic resonance;0.197771588
WF16VT018;Aeolus;2015-Nov-17;5;F;NA;37.85;8.24;2.335;quantitative magnetic resonance;0.283373786
WF16VT019;Aeolus;2015-Nov-17;5;F;NA;39.45;7.42;1.275;quantitative magnetic resonance;0.171832884
WF16VT020;Aeolus;2015-Nov-17;5;F;NA;39.18;9.37;2.585;quantitative magnetic resonance;0.27588047
WF16VT021;Aeolus;2016-Mar-09;1;M;NA;39.08;6.2;0.545;quantitative magnetic resonance;0.087903226
WF16VT022;Aeolus;2016-Mar-09;1;M;NA;37.83;6.6;0.56;quantitative magnetic resonance;0.084848485
WF16VT023;Aeolus;2016-Mar-09;1;F;NA;38.75;6.83;0.605;quantitative magnetic resonance;0.088579795
WF16VT024;Aeolus;2016-Mar-09;1;F;NA;41.32;8.15;1.46;quantitative magnetic resonance;0.179141104
WF16VT025;Aeolus;2016-Mar-09;1;M;NA;35.63;6.21;0.46;quantitative magnetic resonance;0.074074074
WF16VT026;Aeolus;2016-Mar-09;1;F;NA;38.03;6.15;0.89;quantitative magnetic resonance;0.144715447
WF16VT027;Aeolus;2016-Mar-09;1;F;NA;37.32;8.31;1.71;quantitative magnetic resonance;0.205776173
WF16VT028;Aeolus;2016-Mar-09;1;M;NA;39.32;6.97;0.64;quantitative magnetic resonance;0.091822095
WF16VT029;Aeolus;2016-Mar-09;1;F;NA;39.43;7.29;0.855;quantitative magnetic resonance;0.117283951
WF16VT030;Aeolus;2016-Mar-09;1;M;NA;38.95;6.8;0.61;quantitative magnetic resonance;0.089705882
WF16VT031;Aeolus;2016-Mar-09;1;M;NA;37.43;5.64;0.245;quantitative magnetic resonance;0.043439716
WF16VT032;Aeolus;2016-Mar-09;1;M;NA;38.75;6.97;0.66;quantitative magnetic resonance;0.094691535
WF16VT033;Aeolus;2016-Mar-09;2;M;NA;38.36;6.95;0.8;quantitative magnetic resonance;0.115107914
WF16VT034;Aeolus;2016-Mar-09;2;F;NA;39.16;6.88;0.37;quantitative magnetic resonance;0.05377907
WF16VT035;Aeolus;2016-Mar-09;25;M;NA;38.89;7.01;0.68;quantitative magnetic resonance;0.09700428
WF16VT036;Aeolus;2016-Mar-09;25;F;NA;37.71;6.96;0.89;quantitative magnetic resonance;0.127873563
WF16VT037;Aeolus;2016-Mar-09;25;M;NA;39.77;6.38;0.655;quantitative magnetic resonance;0.102664577
WF16VT038;Aeolus;2016-Mar-09;25;M;NA;39.45;6.46;0.745;quantitative magnetic resonance;0.115325077
WF16VT039;Aeolus;2016-Mar-09;25;M;NA;37.12;5.87;0.62;quantitative magnetic resonance;0.105621806
WF16VT040;Aeolus;2016-Mar-09;25;F;NA;39.2;6.74;0.465;quantitative magnetic resonance;0.068991098
WF16NY321;Barton Hill;2015-Nov-06;1;F;NA;38.23;8.08;2.32;quantitative magnetic resonance;0.287128713
WF16NY322;Barton Hill;2015-Nov-06;1;M;NA;36.56;8.24;2.02;quantitative magnetic resonance;0.245145631
WF16NY323;Barton Hill;2015-Nov-06;1;M;NA;37.75;6.9;1.41;quantitative magnetic resonance;0.204347826
WF16NY324;Barton Hill;2015-Nov-06;1;F;NA;38.99;8.58;2.385;quantitative magnetic resonance;0.277972028
WF16NY325;Barton Hill;2015-Nov-06;1;M;NA;39.85;8.65;1.745;quantitative magnetic resonance;0.201734104
WF16NY326;Barton Hill;2015-Nov-06;2;F;NA;38.06;10.51;2.97;quantitative magnetic resonance;0.282588011
WF16NY327;Barton Hill;2015-Nov-06;2;F;NA;38.71;9.79;2.795;quantitative magnetic resonance;0.285495403
WF16NY328;Barton Hill;2015-Nov-06;2;F;NA;38.37;9.87;3.17;quantitative magnetic resonance;0.321175279
WF16NY330;Barton Hill;2015-Nov-06;2;F;NA;38.27;8.06;1.815;quantitative magnetic resonance;0.225186104
WF16NY331;Barton Hill;2015-Nov-06;1;M;NA;36.88;8.42;1.8;quantitative magnetic resonance;0.213776722
WF16NY332;Barton Hill;2015-Nov-06;5;M;NA;38.48;8.28;1.745;quantitative magnetic resonance;0.210748792
